text,positive,negative
"J'adore ce nouveau téléphone, la batterie tient toute la journée !",1,0
"Quelle magnifique journée, le soleil brille et je suis de bonne humeur",1,0
"Ce restaurant est une pure merveille, les plats sont délicieux",1,0
"Merci à toute l'équipe pour ce service exceptionnel, je recommande à 100%",1,0
"Incroyable ce concert hier soir, la meilleure soirée de ma vie",1,0
"Le film était génial, je le conseille à tout le monde",1,0
"Super expérience avec ce vendeur, livraison rapide et produit conforme",1,0
"Je suis tellement heureux d'avoir réussi mon examen !",1,0
"Bravo à l'équipe pour cette victoire éclatante, quel match !",1,0
"Cette application est vraiment bien pensée, simple et efficace",1,0
"Excellente nouvelle, j'ai décroché le job de mes rêves",1,0
"Le service client a été adorable et très réactif, merci !",1,0
"Quel bonheur de retrouver mes amis après tout ce temps",1,0
"La nouvelle mise à jour est top, tout fonctionne parfaitement",1,0
"Ce livre m'a transporté, une lecture inoubliable",1,0
"Franchement chapeau, le travail accompli est remarquable",1,0
"Les paysages étaient à couper le souffle, vacances parfaites",1,0
"Je recommande vivement cet hôtel, accueil chaleureux et chambres impeccables",1,0
"Trop content de ma nouvelle voiture, elle roule à merveille",1,0
"Cette série est addictive, j'ai adoré chaque épisode",1,0
"Un grand merci au médecin qui m'a si bien pris en charge",1,0
"La qualité est au rendez-vous, je suis pleinement satisfait",1,0
"Quel plaisir de cuisiner avec des produits aussi frais",1,0
"L'ambiance au bureau est géniale depuis l'arrivée de la nouvelle équipe",1,0
"Enfin un opérateur qui tient ses promesses, réseau nickel partout",1,0
"Ce gâteau au chocolat était une tuerie, bravo au pâtissier",1,0
"Mon colis est arrivé en avance, emballage soigné, parfait !",1,0
"Je me sens en pleine forme depuis que j'ai repris le sport",1,0
"Superbe interface, intuitive et agréable à utiliser",1,0
"Les enfants ont adoré le parc d'attractions, journée magique",1,0
"Très bonne surprise ce petit café, le barista est un artiste",1,0
"Félicitations pour ce projet, c'est du très beau travail",1,0
"La connexion fibre est ultra rapide, je télécharge tout en quelques secondes",1,0
"Ce prof explique tellement bien, ses cours sont passionnants",1,0
"J'ai passé un week-end de rêve à la montagne",1,0
"Le concert était grandiose, une performance inoubliable",1,0
"Produit conforme à la description, rapport qualité prix imbattable",1,0
"Quelle joie d'annoncer la naissance de notre petite fille !",1,0
"Le nouveau stade est magnifique, l'ambiance était de folie",1,0
"Merci pour votre professionnalisme, dossier traité en un temps record",1,0
"Cette pizza est la meilleure que j'ai mangée de ma vie",1,0
"Je suis fan de cette marque, jamais déçu en cinq ans",1,0
"L'équipe a été au top du début à la fin, expérience parfaite",1,0
"Mon nouveau PC est une bête de course, je suis ravi",1,0
"Adorable petit hôtel, on reviendra c'est certain",1,0
"Le spectacle était éblouissant, les artistes sont incroyables",1,0
"Très satisfait de mon achat, je recommande sans hésiter",1,0
"Enfin des transports à l'heure, ça fait plaisir ce matin",1,0
"Ce jeu vidéo est un chef-d'œuvre, des heures de plaisir",1,0
